Name,School,Position,Height,Weight,Conference
Chad Geter,Gardner-Webb,OLB,6-2,253,FCS
Kennan Gilchrist,Appalachian State,OLB,6-2,225,Sun Belt
Ryan Glasgow,Michigan,DT,6-4,299,Big Ten
Kenny Golladay,Northern Illinois,WR,6-4,213,MAC
Evan Goodman,Arizona State,OG,6-4,300,Pac-12
Barrett Gouger,Vanderbilt,OC,6-4,305,SEC
Tyson Graham,South Dakota,S,6-2,210,FCS
Janarion Grant,Rutgers,WR,5-10,174,Big Ten
Alex Gray,Appalachian State,S,6-3,225,Sun Belt
Trey Griffey,Arizona,WR,6-3,209,Pac-12
Shaquill Griffin,Central Florida,DC,6-1,200,AAC
Jay Guillermo,Clemson,OC,6-3,310,ACC
Brady Gustafson,Montana,QB,6-7,230,FCS
Truman Gutapfel,Boston College,DT,6-3,288,ACC
Dylan Haines,Texas,S,6-1,200,Big 12
Daeshon Hall,Texas A&M;,DE,6-6,260,SEC
Darius Hamilton,Rutgers,DT,6-3,285,Big Ten
Connor Harris,Lindenwood,ILB,6-0,243,Division II
Matthew Harris,Northwestern,DC,5-11,184,Big Ten
Nigel Harris,South Florida,OLB,6-0,225,AAC
Tim Harris,Virginia,DC,6-2,205,ACC
Josh Harvey-Clemons,Louisville,S,6-5,228,ACC
Keon Hatcher,Arkansas,WR,6-2,207,SEC
Jon Heck,North Carolina,OT,6-7,300,ACC
Cody Heiman,Washburn,ILB,6-3,245,Division II
De'Angelo Henderson,Coastal Carolina,RB,5-8,208,Sun Belt
Trey Hendrickson,Florida Atlantic,DE,6-4,270,C-USA
Martez Hester,Ball State,S,6-3,207,MAC
Trevyon Hester,Toledo,DT,6-3,300,MAC
Cole Hikutini,Louisville,TE,6-5,248,ACC
Delano Hill,Michigan,S,6-1,215,Big Ten
Taysom Hill,Brigham Young,QB,6-2,230,IND
Will Holden,Vanderbilt,OT,6-7,312,SEC
Mack Hollins,North Carolina,WR,6-4,210,ACC
Deon Hollins,UCLA,OLB,6-0,230,Pac-12
T.J. Holloman,South Carolina,ILB,6-2,230,SEC
O.J. Howard,Alabama,TE,6-6,251,SEC
Kareem Hunt,Toledo,RB,6-0,225,MAC
Maurice Hurst,Michigan,DT,6-2,282,Big Ten
Nate Iese,UCLA,FB,6-3,242,Pac-12
Danny Isidora,Miami,OG,6-4,305,ACC
Joey Ivie,Florida,DT,6-3,301,SEC
Eddie Jackson,Alabama,S,6-0,194,SEC
Ryan Janvion,Wake Forest,S,5-11,200,ACC
Tyrique Jarrett,Pittsburgh,DT,6-3,335,ACC
Blake Jarwin,Oklahoma State,TE,6-5,248,Big 12
A.J. Jefferson,Mississippi State,DE,6-3,280,SEC
Rayshawn Jenkins,Miami,S,6-2,210,ACC
John Johnson,Boston College,S,6-0,202,ACC
Jadar Johnson,Clemson,S,6-0,210,ACC
B.J. Johnson,Georgia Southern,WR,6-1,212,Sun Belt
Jaleel Johnson,Iowa,DT,6-4,310,Big Ten
Dorian Johnson,Pittsburgh,OG,6-5,315,ACC
Denzel Johnson,TCU,S,6-2,210,Big 12
De'Shawn Jones,Campbell,RB,6-0,215,FCS
Isaiah Jones,East Carolina,WR,6-1,197,AAC
D.J. Jones,Ole Miss,DT,6-0,321,SEC
Adam Jones,Northwestern St. LA,S,6-3,215,FCS
Jarron Jones,Notre Dame,DT,6-5,315,IND
David Jones,Richmond,DC,6-3,210,FCS
Dieugot Joseph,Florida International,OT,6-6,297,C-USA
Kyle Kalis,Michigan,OG,6-5,305,Big Ten
Damontae Kazee,San Diego State,DC,5-11,190,MW
Cam Keizur,Portland State,OC,6-4,320,FCS
Chad Kelly,Ole Miss,QB,6-2,224,SEC
Keith Kelsey,Louisville,ILB,6-1,236,ACC
Jojo Kemp,Kentucky,RB,5-10,200,SEC
Desmond King,Iowa,DC,5-11,203,Big Ten
Kevin King,Washington,DC,6-3,190,Pac-12
George Kittle,Iowa,TE,6-4,250,Big Ten
Andreas Knappe,Connecticut,OT,6-8,325,AAC
Trevor Knight,Texas A&M;,QB,6-1,215,SEC
Alex Kozan,Auburn,OG,6-4,310,SEC
Tanoh Kpassagnon,Villanova,DE,6-7,290,FCS
Cooper Kupp,Eastern Washington,WR,6-2,215,FCS
Forrest Lamp,Western Kentucky,OG,6-4,300,C-USA
Ashton Lampkin,Oklahoma State,DC,6-0,190,Big 12
Harvey Langi,Brigham Young,ILB,6-3,249,IND
Brendan Langley,Lamar,DC,6-1,190,FCS
John Law,Appalachian State,ILB,6-0,235,Sun Belt
Devaroe Lawrence,Auburn,DT,6-2,303,SEC
Des Lawrence,North Carolina,DC,6-1,185,ACC
Ryan Leahy,Cincinnati,OG,6-6,296,AAC
Javarius Leamon,South Carolina St.,OT,6-7,310,FCS
Marquel Lee,Wake Forest,ILB,6-3,240,ACC
Robert Leff,Auburn,OT,6-6,299,SEC
Jordan Leggett,Clemson,TE,6-5,260,ACC
Mitch Leidner,Minnesota,QB,6-4,230,Big Ten
Corey Levin,UT-Chattanooga,OT,6-5,305,FCS
Richard Levy,Connecticut,OG,6-6,316,AAC
Jourdan Lewis,Michigan,DC,5-11,186,Big Ten
William Likely,Maryland,DC,5-7,175,Big Ten
Shock Linwood,Baylor,RB,5-9,200,Big 12
Dallas Lloyd,Stanford,S,6-3,213,Pac-12
T.J. Logan,North Carolina,RB,5-10,190,ACC
Tavian Lott,East Tennessee State,DC,5-11,178,FCS
Shalom Luani,Washington State,S,6-0,198,Pac-12
Keevan Lucas,Tulane,WR,5-10,195,AAC
Cole Luke,Notre Dame,DC,5-11,195,IND
Wes Lunt,Illinois,QB,6-5,225,Big Ten
Jack Lynn,Minnesota,ILB,6-3,240,Big Ten
Greg Mabin,Iowa,DC,6-2,200,Big Ten
KeVonn Mabon,Ball State,WR,6-1,219,MAC
Paul Magloire,Arizona,S,6-1,221,Pac-12
Erik Magnuson,Michigan,OT,6-6,305,Big Ten
Cameron Malveaux,Houston,DE,6-6,270,AAC
Gabe Marks,Washington State,WR,6-0,188,Pac-12
Joe Mathis,Washington,OLB,6-2,255,Pac-12
Quincy Mauger,Georgia,S,6-0,206,SEC
Marcus Maye,Florida,S,6-0,216,SEC
Devante Mays,Utah State,RB,5-11,230,MW
Tyler McCloskey,Houston,FB,6-2,245,AAC
Conor McDermott,UCLA,OT,6-8,310,Pac-12
James McFarland,TCU,DE,6-2,250,Big 12
Torren McGaster,Vanderbilt,DC,6-0,198,SEC
Na'im McGee,San Diego State,S,6-0,200,MW
Elijah McGuire,Louisiana Lafayette,RB,5-11,209,Sun Belt
Takkarist McKinley,UCLA,OLB,6-2,265,Pac-12
Taylor McNamara,USC,TE,6-5,245,Pac-12
Leon McQuay III,USC,S,6-1,195,Pac-12
Obi Melifonwu,Connecticut,S,6-3,217,AAC
Matt Milano,Boston College,OLB,6-1,221,ACC
Taquan Mizzell,Virginia,RB,5-10,195,ACC
Michael Mooney,Virginia,OT,6-6,295,ACC
Fabian Moreau,UCLA,DC,6-0,202,Pac-12
Drew Morgan,Arkansas,WR,6-0,193,SEC
Nicholas Morrow,Greenville,S,6-1,215,Division II
Taylor Moton,Western Michigan,OG,6-5,328,MAC
Nick Mullens,Southern Mississippi,QB,6-1,196,C-USA
Calvin Munson,San Diego State,ILB,6-1,245,MW
Jalen Myrick,Minnesota,DC,5-10,205,Big Ten
Kai Nacua,Brigham Young,S,6-2,215,IND
Lewis Neal,LSU,DE,6-2,272,SEC
Terrell Newby,Nebraska,RB,5-10,200,Big Ten
Hardy Nickerson,Illinois,ILB,6-0,230,Big Ten
Storm Norton,Toledo,OT,6-8,306,MAC
Noble Nwachuku,West Virginia,DE,6-2,275,Big 12
Pat O'Connor,Eastern Michigan,DE,6-4,270,MAC
Ifeadi Odenigbo,Northwestern,OLB,6-3,265,Big Ten
Phazahn Odom,Fordham,TE,6-8,245,FCS
Dare Ogunbowale,Wisconsin,RB,5-11,203,Big Ten
Larry Ogunjobi,Charlotte,DT,6-3,297,C-USA
Tyler Orlosky,West Virginia,OC,6-4,296,Big 12
Evan Panfil,Purdue,DE,6-5,270,Big Ten
Kelly Parfitt,Florida Atlantic,OT,6-6,313,C-USA
Zach Pascal,Old Dominion,WR,6-2,214,C-USA
Andre Patton,Rutgers,WR,6-3,210,Big Ten
"Donald Payne, Jr.",Stetson,S,6-1,219,FCS
Aarion Penton,Missouri,DC,5-10,190,SEC
Kent Perkins,Texas,OG,6-5,320,Big 12
Caleb Peterson,North Carolina,OG,6-5,300,ACC
Kalif Phillips,Charlotte,RB,5-10,221,C-USA
Ondre Pipkins,Texas Tech,DT,6-3,325,Big 12
Jonah Pirsig,Minnesota,OT,6-9,325,Big Ten
Ethan Pocic,LSU,OC,6-7,302,SEC
Reginald Porter,Utah,DC,5-11,185,Pac-12
Josiah Price,Michigan State,TE,6-4,248,Big Ten
Ejuan Price,Pittsburgh,OLB,6-0,255,ACC
Peter Pujals,Holy Cross,QB,6-2,213,FCS
Donnel Pumphrey,San Diego State,RB,5-9,180,MW
Greg Pyke,Georgia,OG,6-6,325,SEC
James Quick,Louisville,WR,6-1,180,ACC
Michael Rector,Stanford,WR,6-1,189,Pac-12
Haason Reddick,Temple,OLB,6-1,230,AAC
Dominique Reed,Arkansas,WR,6-3,175,SEC
Jalen Reeves-Maybin,Tennessee,OLB,6-0,230,SEC
Ryan Reid,Baylor,DC,5-11,190,Big 12
Jake Replogle,Purdue,DT,6-5,289,Big Ten
Taylor Reynolds,James Madison,DC,6-0,195,FCS
Josh Reynolds,Texas A&M;,WR,6-4,190,SEC
Marcus Rios,UCLA,DC,5-11,190,Pac-12
Derek Rivers,Youngstown State,DE,6-5,255,FCS
Michael Roberts,Toledo,TE,6-5,270,MAC
Jalen Robinette,Air Force,WR,6-4,215,MW
Trey Robinson,Furman,S,6-2,220,FCS
Isaac Rochell,Notre Dame,DE,6-4,290,IND
Darreus Rogers,USC,WR,6-1,215,Pac-12
DeJuan Rogers,Toledo,S,6-0,190,MAC
Sam Rogers,Virginia Tech,FB,5-11,230,ACC
Fred Ross,Mississippi State,WR,6-2,205,SEC
Alex Ross,Missouri,RB,6-1,220,SEC
Chase Roullier,Wyoming,OG,6-4,319,MW
Cooper Rush,Central Michigan,QB,6-3,230,MAC
Seth Russell,Baylor,QB,6-3,220,Big 12
Joby Saint Fleur,Northwestern Oklahoma,DE,6-5,245,Division II
Barry Sanders,Oklahoma State,RB,5-10,198,Big 12
Eric Saubert,Drake,TE,6-5,251,FCS
Joe Scelfo,North Carolina State,OC,6-1,300,ACC
Michael Scherer,Missouri,ILB,6-3,235,SEC
Mason Schreck,Buffalo,TE,6-4,258,MAC
DeAndre Scott,Akron,DC,5-11,185,MAC
Justin Senior,Mississippi State,OT,6-5,310,SEC
Rushel Shell,West Virginia,RB,5-10,225,Big 12
R.J. Shelton,Michigan State,WR,5-11,202,Big Ten
Gabe Sherrod,Michigan State,DE,6-3,250,Big Ten
Daikiel Shorts,West Virginia,WR,6-1,202,Big 12
Jake Simonich,Utah State,OT,6-5,300,MW
Nico Siragusa,San Diego State,OG,6-5,330,MW
Dan Skipper,Arkansas,OT,6-10,319,SEC
Tanzel Smart,Tulane,DT,6-1,305,AAC
Jonnu Smith,Florida International,TE,6-3,232,C-USA
De'Veon Smith,Michigan,RB,5-11,228,Big Ten
Tyvis Smith,Northern Iowa,RB,6-1,226,FCS
Sebastian Smith,Ohio,WR,6-3,207,MAC
Maurice Smith,Georgia,DC,6-0,195,SEC
Malik Smith,San Diego State,S,6-0,190,MW
Eric Smith,Virginia,OT,6-5,300,ACC
Dawuane Smoot,Illinois,DE,6-3,255,Big Ten
Thomas Sperbeck,Boise State,WR,6-0,180,MW
Jeremy Sprinkle,Arkansas,TE,6-6,256,SEC
Dwayne Stanford,Oregon,WR,6-5,205,Pac-12
Jamari Staples,Louisville,WR,6-4,195,ACC
Weston Steelhammer,Air Force,S,6-2,200,MW
Austin Stephens,Utah State,OC,6-3,305,MW
Jordan Sterns,Oklahoma State,S,6-0,200,Big 12
Freddie Stevenson,Florida State,FB,6-1,241,ACC
Orion Stewart,Baylor,S,6-2,205,Big 12
Channing Stribling,Michigan,DC,6-2,175,Big Ten
Cameron Sutton,Tennessee,DC,5-11,186,SEC
Ryan Switzer,North Carolina,WR,5-10,185,ACC
Cordrea Tankersley,Clemson,DC,6-1,200,ACC
Pita Taumoepenu,Utah,OLB,6-1,245,Pac-12
Sae Tautu,Brigham Young,OLB,6-4,245,IND
Alphonse Taylor,Alabama,OG,6-5,345,SEC
Steven Taylor,Houston,ILB,6-1,225,AAC
Trent Taylor,Louisiana Tech,WR,5-8,178,C-USA
Taywan Taylor,Western Kentucky,WR,6-1,195,C-USA
Sam Tevi,Utah,OT,6-6,305,Pac-12
Nate Theaker,Wayne State,OT,6-6,303,Division II
Dwayne Thomas,LSU,DC,6-0,201,SEC
Dymonte Thomas,Michigan,S,6-2,199,Big Ten
Ahmad Thomas,Oklahoma,S,6-0,215,Big 12
Jahad Thomas,Temple,RB,5-10,188,AAC
Justin Thomas,Utah,DC,5-8,180,Pac-12
Tedric Thompson,Colorado,S,6-1,205,Pac-12
Gary Thompson,Marshall,DE,6-2,260,C-USA
Jack Tocho,North Carolina State,DC,6-0,200,ACC
Cameron Tom,Southern Mississippi,OC,6-4,287,C-USA
Dalvin Tomlinson,Alabama,DT,6-3,305,SEC
Jon Toth,Kentucky,OC,6-5,310,SEC
Keith Towbridge,Louisville,TE,6-5,265,ACC
Patrick Towles,Boston College,QB,6-5,253,ACC
Damarius Travis,Minnesota,S,6-2,215,Big Ten
Stevie Tu'ikolovatu,USC,DT,6-1,320,Pac-12
Travis Tuiloma,Brigham Young,DT,6-2,295,IND
Josh Tupou,Colorado,DT,6-3,325,Pac-12
Jerry Ugokwe,William & Mary,OT,6-8,305,FCS
Tanner Vallejo,Boise State,ILB,6-1,223,MW
Clint Van Horn,Marshall,OT,6-5,305,C-USA
Corey Vereen,Tennessee,DE,6-2,249,SEC
Anton Wahrby,Wofford,OT,6-5,300,FCS
DeMarcus Walker,Florida State,DE,6-4,280,ACC
Kody Walker,Arkansas,RB,6-2,240,SEC
Jonathan Walton,South Carolina,ILB,6-0,230,SEC
"Greg Ward, Jr.",Houston,QB,5-11,185,AAC
Jylan Ware,Alabama State,OT,6-8,295,FCS
Deron Washington,Pittsburg St. KS,S,6-1,211,Division II
Carlos Watkins,Clemson,DT,6-3,305,ACC
Brad Watson,Wake Forest,DC,6-0,200,ACC
Ben Weaver,Boise State,ILB,6-0,222,MW
Davis Webb,California,QB,6-5,230,Pac-12
Dede Westbrook,Oklahoma,WR,6-0,175,Big 12
Jordan Westerkamp,Nebraska,WR,6-0,200,Big Ten
Chad Wheeler,USC,OT,6-6,310,Pac-12
Marquez White,Florida State,DC,6-0,184,ACC
Tre'Davious White,LSU,DC,6-0,197,SEC
Kermit Whitfield,Florida State,WR,5-8,182,ACC
Conley Wilkins,Drake,RB,5-10,201,FCS
Tim Williams,Alabama,OLB,6-4,252,SEC
Jamaal Williams,Brigham Young,RB,6-2,220,IND
Jhavon Williams,Connecticut,DC,5-10,187,AAC
Joe Williams,Utah,RB,5-11,205,Pac-12
Jordan Willis,Kansas State,DE,6-5,258,Big 12
Eric Wilson,Cincinnati,OLB,6-2,225,AAC
"Jesus ""Bobo"" Wilson",Florida State,WR,5-10,184,ACC
Brandon Wilson,Houston,DC,5-11,200,AAC
"Deatrich Wise, Jr.",Arkansas,DE,6-5,272,SEC
Xavier Woods,Louisiana Tech,S,5-11,219,C-USA
Chris Wormley,Michigan,DE,6-6,303,Big Ten
DeAngelo Yancey,Purdue,WR,6-2,205,Big Ten
