Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
6,201,JAX,Brandon Allen\AlleBr00,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats
6,202,DET,Anthony Zettel\ZettAn00,DT,24,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Penn St.,College Stats
6,203,KAN,Dadi Nicolas\NicoDa00,DE,24,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Virginia Tech,
6,204,MIA,Jordan Lucas\LucaJo00,SS,23,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Penn St.,College Stats
6,205,ARI,Harlan Miller\MillHa00,CB,,,0,0,0,,,,,,,,,,,,,,,,,,SE Louisiana,
6,206,LAR,Mike Thomas\ThomMi04,WR,22,2016,0,0,0,0,0,4,,,,,,,,,0,0,0,,,,Southern Miss,College Stats
6,207,SFO,Jeff Driskel\DrisJe00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech,College Stats
6,208,NWE,Kamu Grugier-Hill\GrugKa00,OLB,22,2016,0,0,0,0,,3,,,,,,,,,,,,1,,,East. Illinois,
6,209,BAL,Maurice Canady\CanaMa00,CB,,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Virginia,College Stats
6,210,DET,Jimmy Landes\LandJi00,LS,24,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats
6,211,SFO,Kelvin Taylor\TaylKe01,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
6,212,DAL,Kavon Frazier\FrazKa00,SS,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Michigan,College Stats
6,213,SFO,Aaron Burbridge\BurbAa00,WR,22,2016,0,0,0,0,0,5,,,,,,,,,1,5,0,,,,Michigan St.,College Stats
6,214,NWE,Elandon Roberts\RobeEl00,ILB,22,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,Houston,College Stats
6,215,SEA,Joey Hunt\HuntJo00,C,22,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,TCU,College Stats
6,216,DAL,Darius Jackson\JackDa01,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,East. Michigan,
6,217,DAL,Rico Gathers\GathRi00,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,
6,218,BUF,Kevon Seymour\SeymKe00,CB,22,2016,0,0,0,0,0,3,,,,,,,,,,,,4,,,USC,College Stats
6,219,DEN,Will Parks\ParkWi01,S,22,2016,0,0,0,0,0,4,,,,,,,,,,,,3,1,,Arizona,
6,220,PIT,Travis Feeney\FeenTr00,OLB,,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
6,221,NWE,Ted Karras\KarrTe00,G,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Illinois,College Stats
7,222,TEN,Aaron Wallace\WallAa00,OLB,23,2016,0,0,0,0,0,2,,,,,,,,,,,,1,,,UCLA,
7,223,MIA,Brandon Doughty\DougBr00,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,West. Kentucky,College Stats
7,224,SDG,Donavon Clark\ClarDo00,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,
7,225,NWE,Devin Lucien\LuciDe00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,
7,226,JAX,Jonathan Woodard\WoodJo00,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Arkansas,
7,227,MIN,Stephen Weatherly\WeatSt00,OLB,22,,0,0,0,,,,,,,,,,,,,,,,,,Vanderbilt,College Stats
7,228,DEN,Riley Dixon\DixoRi00,P,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Syracuse,College Stats
7,229,PIT,DeMarcus Ayers\AyerDe00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats
7,230,CHI,Daniel Braverman\BravDa00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,West. Michigan,College Stats
7,231,MIA,Thomas Duarte\DuarTh00,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats
7,232,WAS,Steven Daniels\DaniSt00,ILB,23,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,
7,233,PHI,Jalen Mills\MillJa02,FS,22,2016,0,0,0,0,0,3,,,,,,,,,,,,14,,,LSU,College Stats
7,234,OAK,Vadal Alexander\AlexVa00,G,22,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,LSU,College Stats
7,235,NYJ,Lac Edwards\EdwaLa01,P,24,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Sam Houston St.,
7,236,DET,Dwayne Washington\WashDw00,RB,22,2016,0,0,0,0,0,4,,,,,,18,76,1,2,5,0,,,,Washington,College Stats
7,237,NOR,Daniel Lasco\LascDa00,RB,23,2016,0,0,0,0,0,4,,,,,,4,12,0,1,7,0,,,,California,College Stats
7,238,ATL,Devin Fuller\FullDe00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,
7,239,IND,Trevor Bates\BateTr00,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Maine,
7,240,PHI,Alex McCalister\McCaAl00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
7,241,NYJ,Charone Peake\PeakCh00,WR,23,2016,0,0,0,0,0,4,,,,,,,,,3,30,0,,,,Clemson,College Stats
7,242,WAS,Keith Marshall\MarsKe00,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,
7,243,SEA,Kenny Lawler\LawlKe00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats
7,244,MIN,Jayron Kearse\KearJa00,S,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Clemson,College Stats
7,245,CIN,Clayton Fejedelem\FejeCl00,S,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Illinois,College Stats
7,246,PIT,Tyler Matakevich\MataTy00,OLB,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Temple,College Stats
7,247,SEA,Zac Brooks\BrooZa00,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,
7,248,IND,Austin Blythe\BlytAu00,C,24,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Iowa,College Stats
7,249,SFO,Prince Charles Iworah\IworPr00,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,West. Kentucky,
7,250,CLE,Scooby Wright III\WrigSc00,ILB,22,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats
7,251,PHI,Joe Walker\WalkJo01,ILB,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,
7,252,CAR,Beau Sandland\SandBe00,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Montana St.,
7,253,TEN,Kalan Reed\ReedKa00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Southern Miss,
