Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
2,39,TAM,Noah Spence\SpenNo00,DE,,2016,0,0,0,0,0,4,,,,,,,,,,,,1,,1.0,West. Kentucky,College Stats
2,40,NYG,Sterling Shepard\ShepSt00,WR,22,2016,0,0,0,0,0,4,,,,,,,,,20,263,2,,,,Oklahoma,College Stats
2,41,BUF,Reggie Ragland\RaglRe00,ILB,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
2,42,BAL,Kamalei Correa\CorrKa00,DE,,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Boise St.,College Stats
2,43,TEN,Austin Johnson\JohnAu01,NT,22,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,Penn St.,College Stats
2,44,OAK,Jihad Ward\WardJi02,DE,22,2016,0,0,0,0,0,4,,,,,,,,,,,,4,,,Illinois,College Stats
2,45,TEN,Derrick Henry\HenrDe00,RB,22,2016,0,0,0,0,0,4,,,,,,27,97,0,3,50,0,,,,Alabama,College Stats
2,46,DET,A'Shawn Robinson\RobiAS00,DT,21,2016,0,0,0,0,0,4,,,,,,,,,,,,4,,,Alabama,College Stats
2,47,NOR,Michael Thomas\ThomMi03,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
2,48,GNB,Jason Spriggs\SpriJa00,T,22,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Indiana,College Stats
2,49,SEA,Jarran Reed\ReedJa02,DT,23,2016,0,0,0,0,0,3,,,,,,,,,,,,1,,,Alabama,College Stats
2,50,HOU,Nick Martin\MartNi00,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats
2,51,NYJ,Christian Hackenberg\HackCh01,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats
2,52,ATL,Deion Jones\JoneDe01,OLB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,24,1,,LSU,College Stats
2,53,WAS,Su'a Cravens\CravSu00,OLB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,8,1,,USC,College Stats
2,54,MIN,Mackensie Alexander\AlexMa01,CB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Clemson,College Stats
2,55,CIN,Tyler Boyd\BoydTy00,WR,21,2016,0,0,0,0,0,4,,,,,,,,,12,130,0,,,,Pittsburgh,College Stats
2,56,CHI,Cody Whitehair\WhitCo03,G,24,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Kansas St.,College Stats
2,57,IND,T.J. Green\GreeT.00,FS,21,2016,0,0,0,0,0,3,,,,,,,,,,,,5,,,Clemson,College Stats
2,58,PIT,Sean Davis\DaviSe00,CB,,2016,0,0,0,0,0,4,,,,,,,,,,,,10,,,Maryland,College Stats
2,59,TAM,Roberto Aguayo\AguaRo00,K,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Florida St.,College Stats
2,60,NWE,Cyrus Jones\JoneCy00,CB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,1,,,Alabama,College Stats
2,61,NOR,Vonn Bell\BellVo00,FS,21,2016,0,0,0,0,0,4,,,,,,,,,,,,15,,,Ohio St.,College Stats
2,62,CAR,James Bradberry\BradJa00,CB,23,2016,0,0,0,0,0,4,,,,,,,,,,,,9,1,,Samford,
2,63,DEN,Adam Gotsis\GotsAd00,DT,24,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Georgia Tech,College Stats
3,64,TEN,Kevin Byard\ByarKe01,S,23,2016,0,0,0,0,0,4,,,,,,,,,,,,8,,,Middle Tenn. St.,College Stats
3,65,CLE,Carl Nassib\NassCa00,DE,23,2016,0,0,0,0,0,2,,,,,,,,,,,,3,,1.0,Penn St.,College Stats
3,66,SDG,Max Tuerk\TuerMa00,C,22,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats
3,67,DAL,Maliek Collins\CollMa00,DT,21,2016,0,0,0,0,0,4,,,,,,,,,,,,4,,,Nebraska,College Stats
3,68,SFO,Will Redmond\RedmWi00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats
3,69,JAX,Yannick Ngakoue\NgakYa00,DE,21,2016,0,0,0,0,0,4,,,,,,,,,,,,8,1,3.0,Maryland,College Stats
3,70,BAL,Bronson Kaufusi\KaufBr01,DE,25,,0,0,0,,,,,,,,,,,,,,,,,,BYU,College Stats
3,71,NYG,Darian Thompson\ThomDa05,S,23,2016,0,0,0,0,0,2,,,,,,,,,,,,6,,,Boise St.,College Stats
3,72,CHI,Jonathan Bullard\BullJo00,DT,22,2016,0,0,0,0,0,3,,,,,,,,,,,,3,,,Florida,College Stats
3,73,MIA,Kenyan Drake\DrakKe00,RB,22,2016,0,0,0,0,0,4,,,,,,13,64,1,4,17,0,,,,Alabama,College Stats
3,74,KAN,KeiVarae Russell\RussKe00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats
3,75,OAK,Shilique Calhoun\CalhSh00,DE,24,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Michigan St.,College Stats
3,76,CLE,Shon Coleman\ColeSh00,T,24,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats
3,77,CAR,Daryl Worley\WorlDa00,CB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,6,,,West Virginia,College Stats
3,78,NWE,Joe Thuney\ThunJo00,G,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,North Carolina St.,
3,79,PHI,Isaac Seumalo\SeumIs00,G,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.,College Stats
3,80,BUF,Adolphus Washington\WashAd00,DT,21,2016,0,0,0,0,0,4,,,,,,,,,,,,2,,,Ohio St.,College Stats
3,81,ATL,Austin Hooper\HoopAu00,TE,21,2016,0,0,0,0,0,4,,,,,,,,,5,140,1,,,,Stanford,College Stats
3,82,IND,Le'Raven Clark\ClarLe01,T,23,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Texas Tech,College Stats
3,83,NYJ,Jordan Jenkins\JenkJo01,OLB,22,2016,0,0,0,0,0,2,,,,,,,,,,,,2,,,Georgia,College Stats
3,84,WAS,Kendall Fuller\FullKe00,CB,21,2016,0,0,0,0,0,1,,,,,,,,,,,,7,,,Virginia Tech,College Stats
3,85,HOU,Braxton Miller\MillBr03,WR,24,2016,0,0,0,0,0,2,,,,,,1,-2,0,2,9,0,,,,Ohio St.,College Stats
3,86,MIA,Leonte Carroo\CarrLe00,WR,22,2016,0,0,0,0,0,4,,,,,,,,,2,14,0,,,,Rutgers,College Stats
3,87,CIN,Nick Vigil\VigiNi00,ILB,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Utah St.,College Stats
3,88,GNB,Kyler Fackrell\FackKy00,OLB,24,2016,0,0,0,0,0,3,,,,,,,,,,,,2,,1.0,Utah St.,College Stats
3,89,PIT,Javon Hargrave\HargJa00,DT,23,2016,0,0,0,0,0,4,,,,,,,,,,,,2,,,South Carolina St.,
3,90,SEA,C.J. Prosise\ProsC.00,RB,22,2016,0,0,0,0,0,1,,,,,,1,-2,0,1,13,0,,,,Notre Dame,College Stats
3,91,NWE,Jacoby Brissett\BrisJa00,QB,23,2016,0,0,0,0,0,3,34,55,400,0,0,16,83,1,,,,,,,North Carolina St.,College Stats
